Qty,Num,Rarity,Name,Type,Subtype/Allegiance,Attribute,Effect,Lore,Politics Ability,Intrigue Ability,One Power Ability,Combat Ability,Politics Cost,Intrigue Cost,One Power Cost,Combat Cost
,2,R1,Aan'allein,Character,Aes Sedai,"Borderland,Malkier","There must be 10 or more total Pattern in the game to play this card.  Replace Lan Mandragoran.  Remove 1 point of damage from this character at the start of the Draw Round.  When this character rotates to heal, remove up to 3 damage from him.  Shuffle this card from your hand into your deck to search your deck for Lan Mandragoran and place him in your hand.",The last of the Malkieri.,1,3,,5,,,,
,17,R1,Birgitte,Character,Aes Sedai,"Warder,Bonded to Elayne Trakand,Hero of the Horn,Light Nature","If you control Elayne, you may recruit this character as if she had the Dragon allegiance.  When recruited, search your hand or deck for a Longbow, and place it on Birgitte for no cost.  Symbols generated by this character may not be used to recruit. When Birgitte is placed in a killed pile, she is instead shuffled back into her owner's deck.","Her blue eyes fastened on him purposefully, and her face fixed itself in determination.",,3,,4,,,,3
,33,R1,Couladin Car'a'carn,Character,Aiel,"Car'a'carn,Dark Nature","You must be a Villain player and there must be 10 or more total Patern in the game to play this card.  Replace Couladin.  While this character is participating in a challenge, all Aiel characters and troops you control participating in the same challenge roll an additional Combat die when they roll their Combat dice.  Remove up to 3 damage from this character when he rotates to heal.   Shuffle this card from your hand into your deck to search your deck for Couladin and place him in your hand.","He raised his Dragon marked arms again.  ""These make me holy!""",3,3,,4,,,,
,46,R2,Erim,Character,Aiel,Clan Chief of the Chareen Aiel,"You must control Chief's Chair or Ji'e'toh to recruit this character.  Once per turn, target a card you control.  No opponent may target that card with cards or card effects this turn.","…from Erim, ""Rand al'Thor is He Who Comes With the Dawn.""",2,,,4,,,,4
,63,R2,Indirian,Character,Aiel,Clan Chief of the Codarra Aiel,"You must control Chief's Chair or Ji'e'toh to recruit this character.  Once per turn, if Indirian is participating in a challenge, rotate a Multiple Monster participating in the same challenge for no effect.","His cheekbones stood out sharp, and his eyes were emeralds…",2,1,,4,,,,4
,83,R2,Mandelain,Character,Aiel,Clan Chief of the Daryne Aiel,"You must control Chief's Chair or Ji'e'toh to recruit this character.  If Mandelain is the only character you control participating in a challenge, he cannot be assigned damage, and any [Damage] generated by him is negated.","Mandelain adjusted the patch over his eye, the way he did when he wanted a moment to think.",3,,,4,,,,4
,13,R2,Bael,Character,Aiel,Clan Chief of the Goshien Aiel,You must control Chief's Chair or Ji'e'toh to recruit this character.  This character loses 1 from each printed ability for each non-starting character and troop you control which has an allegaince other than Aiel.,"His dark reddish hair was graying, too; there were no young men among clan chiefs.",3,2,,4,,,,4
,142,R2,Timolan,Character,Aiel,Clan Chief of the Miagoma Aiel,"You must control Chief's Chair or Ji'e'toh to recruit this character.  While participating in a challenge, if no opponent has characters participating in that challenge, all [Damage] rolled by Timolan are converted into troop damage.","When Timolan was young as a chief, he tried to unite the clans and failed.",2,2,,4,,,,4
,18,R2,Bruan,Character,Aiel,Clan Chief of the Nakai Aiel,"You must control Chief's Chair or Ji'e'toh to recruit this character.  While Bruan is the target of an advantage, he additionally generates [Support] [Opposition] [Combat] [Damage] when he rolls his dice.",Bruan's oddly placid manner belied his battle skills.,2,1,,4,,,,4
,40,R2,Dhearic,Character,Aiel,Clan Chief of the Reyn Aiel,You must control Chief's Chair or Ji'e'toh to recruit this character.  You may kill Dhearic while he is participating in a challenge to remove 1 point of damage from all Aiel characters you control.,His blue eyes were filled with contempt.,2,,,4,,,,4
