Qty,Num,Rarity,Name,Type,Subtype/Allegiance,Attribute,Effect,Lore,Politics Ability,Intrigue Ability,One Power Ability,Combat Ability,Politics Cost,Intrigue Cost,One Power Cost,Combat Cost
,105,U,Second Squadron,Troop,Dragon,Band of the Red Hand,"This troop gains +1 Combat for every 3 Band of the Red Hand troops you control.  While participating in a challenge, this troop adds [Damage] to your characer damage pool during the Opening Moves step.",…followed by fifty or more archers with quivers on hips and bows slung on shoulders.,,,,3,1,,,1
,139,U,Third Squadron,Troop,Dragon,Band of the Red Hand,This troop gains +1 Combat for every 3 Band of the Red Hand troops you control.  All [Opposition] generated by this troop may be converted into [Support].,"A troop of foot behind a mounted officer in a dented breastplate and Cairhienin helmet marched… close to two hundred pikemen, weapons a tall forest of spikes...",,,,3,,,,1
,33,U,First Squadron,Troop,Dragon,"Band of the Red Hand,Reinforcement",This troop gains +1 Combat for every 3 Band of the Red Hand troops you control.  All Band of the Red Hand troops you control have Reinforcement.,"Edorion's five hundred called themselves Edorion's Hammers, not the First Squadron.",,,,3,1,,,1
,61,R2,Leane Sedai,Character,Aes Sedai,"Blue Ajah,Keeper of the Chronicles","As an event, rotate to draw 1 card, or 2 cards if you control the Amyrlin Seat.  When you use this ability, discard your entire hand at the end of the resolution round.","The staff she held upright before her with both hands was as tall as she, the gilded flame capping it standing above her eyes.",3,2,2,,2,1,2,
,31,R1,Faile,Character,Dragon,"Borderland,Saldaean,Hunter of the Horn","The number of tokens on your section of the pattern is treated as being 2 higher, but only for purposes of fulfilling character recruitment and replacement requirements.","My father is Davram of House Bashere, Lord of Bashere, Tyr and Sidona, Guardian of the Blightborder, Defender of the Heartland, Marshal-General to Queen Tenobia of Saldaea.",2,2,,1,1,1,,1
,55,U,Kin Tovere,Character,Dragon,Cairhien,"As an event, rotate to give all Cairhien troops you control Reinforcement for the rest of the turn.","A wonderful thought, this tower.  I would never have conceived it, but once you started asking how far you could see with a looking glass…",,1,,,,2,,
,117,R2,The City of Illian,Advantage,Player,Capital of Illian,"While you control the Illian nation contested advantage, when you gain pattern from a Pattern Challenge, you may return a challenge card of your choice in your discard pile to your hand.","Illian had no walls at all, but it seemed to be all towers and palaces.",,,,,,,,
,34,R2,Galad,Character,Andor,Children of the Light,"While participating in a challenge, Galad additionally generates [2x Damage Icon] when he rolls his dice.",You should be proud; he is one of the best young officers among the Children.,1,,,4,2,,,2
,132,R2,The Seals,Advantage,World,Contested Advantage,"May only be played if there is less than 10 pattern total in the game.  If any Hero player controls this advantage by 7 or more, all Hero players generate an additional amount of [Support] and [Opposition] equal to twice their current pattern during the Last Battle.  If any Villain player controls this advantage by 7 or more, all Villain players generate an additional amount of [Support] and [Opposition] equal to twice their current pattern during the Last Battle.","It was a disc the size of a man's hand, seemingly made of two tear drops fitted together, one black as pitch, the other white as snow.",,,,,,,,
,66,U,Lord Argirin Darelos,Character,Illian,Council of Nine,"As a limited event, rotate while participating in a challenge to target a character with no permanent One Power ability participating in the same challenge.  The target rotates for no effect.","…the Council of Nine could have any palace they wished, just as long as they did not try to build one larger than his.",2,2,,,,2,,
,67,U,Lord Ballin Elamri,Character,Illian,Council of Nine,"If you control a member of the Council of Nine, there is no cost to recruit this character.",…lords of the Nine with him merely wore grim determination on their faces.,2,,,,1,,,
,72,U,Lord Eliris Mancuri,Character,Illian,Council of Nine,"As a limited event, rotate to reduce the cost of all characers and troops with the Illian allegiance you recruit this turn by [Combat].  (This reduction applies after all other modifiers.)","…others of the Council of Nine, leaning in their saddles to speak softly and uneasily among themselves.",2,1,,2,1,1,,1
,73,U,Lord Ershin Netari,Character,Illian,Council of Nine,"As an event, pay an ability symbol generated by Lord Ershin Netari to remove 1 point of damage from a troop you control with the Illian allegiance.","For that matter, Ershin Netari kept glancing back toward Jeordwyn…",1,,,2,,,,2
,75,U,Lord Jeordwyn Semaris,Character,Illian,Council of Nine,"While participating in a contested advantage challenge, Lord Jeordwyn Semaris additionally generates [2x Support] [2x Opposition] when he rolls his dice.",Lordling do always come down to the decks for wenching and carousing…,2,1,,,1,1,,
,76,U,Lord Kiril Drapeneos,Character,Illian,Council of Nine,"If Lord Kiril Drapeneos does not generate any ability symbols when he rolls his dice, he does not ready next turn.",…a stork of a man whose square-cut beard looked odd on his narrow face…,2,1,,,1,,,
,78,U,Lord Spiron Narettin,Character,Illian,Council of Nine,Damage generated by Lord Spiron Narettin is converted into troop damage.,"The Nine did forbid any ship to sail for Tear a month gone now, nor any from Tear to call here…",1,1,,3,1,1,,2
,69,U,Lord Comar,Character,Andor,Dark Nature,"As an event, rotate to search your deck for a Darkfriend character advantage, and place it in your hand.  You may play the Darkfriend character advantage for no cost.","He was a fine soldier, but it is said he left the Guard over some matter of weighted dice.  Not that anyone says that to his face.",2,,,2,,1,,1
,148,U,White Lions,Troop,Andor,Dark Nature,The White Lions may participate in challenges with Monsters.,"The new men.  No better than brigands, most of them...",,,,4,,2,,
,81,U,Melindhra,Character,Aiel,"Dark Nature,Maiden of the Spear,Shaido Aiel","You must have 3 pattern to recruit Melindhra.  Symbols generated by this character may not be used for recruiting.  As an event, rotate and kill Melindhra to put 1 point of damage on any character.","Some oaths are more important than others, Mat Cauthon.",,,,3,,,,1
,23,R2,Couladin,Character,Aiel,"Dark Nature,Shaido Aiel,Black Eyes","If you control the Car'a'carn character advantage, discard this card.  While Couladin is participating in a challenge, all Aiel troops you control participating in the same challenge roll an additional Combat die when they roll their dice.  Remove 1 point of damage from Couladin at the beginning of the challenge round.",It is death for him to on this ground!  Why has Rhuarc brought him?  Why?,2,,,4,1,,,3
,16,U,Chesmal Sedai,Character,Aes Sedai,"Dark Nature,Yellow Ajah,Black Ajah","As a limited event, rotate and target a character with damage.  The target takes an additional point of damage, and Chesmal Sedai does not ready next turn.","…a tall, handsome woman, dark-haired and dark-eyed.",,2,2,,,2,1,
